dataset,similarity_metric,community_detector,algorithm_rec,test_size,split_id,rmse,mse,mae
ml-100k,euclidean,Paris,Co-Clustering,0.01,2,1.3370609082791087,1.7877318724481552,1.0873519267056408
ml-100k,euclidean,Surprise,SVD,0.01,2,1.245680945333814,1.5517210175677447,1.0126246689962728
ml-100k,euclidean,Surprise,k-NN,0.01,2,1.2533169798231418,1.5708034519130016,1.008908986501949
ml-100k,euclidean,Surprise,NMF,0.01,2,1.3361934302893546,1.7854128831484324,1.074131401879097
ml-100k,euclidean,Surprise,Co-Clustering,0.01,2,1.3283856264401483,1.7646083725327852,1.0796920075561316
ml-100k,cosine,Not-Applicable,SVD,0.01,2,0.9516892299841626,0.9057123904678483,0.7369175358370598
ml-100k,cosine,Not-Applicable,k-NN,0.01,2,0.9771338243668578,0.9547905107218012,0.7703052196538726
ml-100k,cosine,Not-Applicable,NMF,0.01,2,0.972947971682363,0.9466277556008242,0.7495702775891206
ml-100k,cosine,Not-Applicable,Co-Clustering,0.01,2,0.9622006266097436,0.9258300458481833,0.7443815466964272
ml-100k,cosine,Louvain,SVD,0.01,2,1.2669365948987323,1.6051283354935943,1.0240748643259978
ml-100k,cosine,Louvain,k-NN,0.01,2,1.2492462963186775,1.560616308865933,1.0148602711570218
ml-100k,cosine,Louvain,NMF,0.01,2,1.368131666725203,1.871784257496282,1.1131971624176493
ml-100k,cosine,Louvain,Co-Clustering,0.01,2,1.3770481846786178,1.8962617029266768,1.108781831086832
ml-100k,cosine,Paris,SVD,0.01,2,1.2727995375590837,1.6200186628106175,1.0349263198816012
ml-100k,cosine,Paris,k-NN,0.01,2,1.2369640235135833,1.5300799954669126,0.999867099343382
ml-100k,cosine,Paris,NMF,0.01,2,1.3717562238740084,1.8817151377370784,1.1211702264419237
ml-100k,cosine,Paris,Co-Clustering,0.01,2,1.344968737706342,1.8089409054073908,1.087061825864899
ml-100k,cosine,Surprise,SVD,0.01,2,1.2406307244311419,1.5391645944025396,1.0159224608432844
ml-100k,cosine,Surprise,k-NN,0.01,2,1.328940840810585,1.7660837583743445,1.0611907531297449
ml-100k,cosine,Surprise,NMF,0.01,2,1.3881246253745676,1.9268899755712838,1.123943449569033
